job_name,workflow_id,timestamp,status,mol_id,job_type,result,failure_reason,retry_count
E-0001321_GO,764b9b20-6b64-4591-8a1c-3fd8cd769686,2025-12-08T14:05:56.739555,completed,E-0001321,geometry_opt,,,0
E-0001780_GO,9bcaec04-76f1-43f6-acbb-926898544a69,2025-12-08T14:02:52.525367,completed,E-0001780,geometry_opt,,,0
E-0001827_GO,0a33c297-218d-4615-af4d-92c1ca592809,2025-12-08T14:06:59.723919,completed,E-0001827,geometry_opt,,,0
E-0001780_SP_water,a6c4aa62-3d9c-4d4f-96eb-022047a0434e,2025-12-08T14:08:00.734201,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.191532786379244, ""E_LUMO_HOMO_GAP"": 0.12807085788283293, ""Dipole_Moment"": 2.071201042842027, ""Polarizability"": 342.1584505524454, ""PSA_DFT"": 297.5180955633885, ""SCF_Energy"": -879.7084531233961}, ""scf_energy"": -879.7084531233961}",,0
E-0001780_SP_lipid,791020d9-f6d1-4298-96e8-0b7db4d2d959,2025-12-08T14:08:01.540734,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.19151468297853042, ""E_LUMO_HOMO_GAP"": 0.12973048661077885, ""Dipole_Moment"": 1.7759655526554063, ""Polarizability"": 287.9587090984773, ""PSA_DFT"": 221.99365750754106, ""SCF_Energy"": -879.7013517180977}, ""scf_energy"": -879.7013517180977}",,0
E-0001780_SP_gas,fc3d8d35-ad45-44bc-8b3b-7d7d558d71f6,2025-12-08T14:08:02.477084,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.1916618566749354, ""E_LUMO_HOMO_GAP"": 0.131274060933468, ""Dipole_Moment"": 1.4850109093420711, ""Polarizability"": 235.68888898127616, ""PSA_DFT"": 136.62976149901488, ""SCF_Energy"": -879.6928003205018}, ""scf_energy"": -879.6928003205018}",,0
E-0001321_SP_water,b2aa436c-5b71-494c-a0df-d86fad0e8275,2025-12-08T14:09:05.835291,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.20335287797184587, ""E_LUMO_HOMO_GAP"": 0.15339388617544614, ""Dipole_Moment"": 1.1255976231666747, ""Polarizability"": 621.5338988544091, ""PSA_DFT"": 745.874899169929, ""SCF_Energy"": -1660.0294304914846}, ""scf_energy"": -1660.0294304914846}",,0
E-0001321_SP_lipid,6ba5a068-6a74-4904-b97b-a2e5e7632458,2025-12-08T14:09:06.722654,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.199408839294343, ""E_LUMO_HOMO_GAP"": 0.15335282769168515, ""Dipole_Moment"": 0.940092299893811, ""Polarizability"": 551.1075036381693, ""PSA_DFT"": 595.6600148338007, ""SCF_Energy"": -1660.011158812041}, ""scf_energy"": -1660.011158812041}",,0
E-0001321_SP_gas,8a6b91d5-a623-4966-8c4d-26a05b7fccfd,2025-12-08T14:08:03.750924,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.19554640251193553, ""E_LUMO_HOMO_GAP"": 0.15271813536178805, ""Dipole_Moment"": 0.7854931362393124, ""Polarizability"": 478.86283644927613, ""PSA_DFT"": 442.5374417496287, ""SCF_Energy"": -1659.98982362858}, ""scf_energy"": -1659.98982362858}",,0
E-0001827_SP_water,30f4328d-5468-49a3-bae5-81a811250b14,2025-12-08T14:09:07.540790,completed,,single_point,"{""dft_descriptors"": {""E_HOMO"": -0.19126688674931658, ""E_LUMO_HOMO_GAP"": 0.12791089040351394, ""Dipole_Moment"": 3.3759499253104486, ""Polarizability"": 470.8427004770685, ""PSA_DFT"": 394.69091550080776, ""SCF_Energy"": -1264.1247496215408}, ""scf_energy"": -1264.1247496215408}",,0
